;;?What are the airline hubs of <A>;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/hubs> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/hubs> ?uri };606ecd9c542e4d1d8cd5322a41818757;;;;;;;;;;;;;;;
;;Who holds shares in something famous for the <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/knownFor> <A> . ?uri <http://dbpedia.org/property/owner> ?x };select distinct ?a where { ?x <http://dbpedia.org/ontology/knownFor> ?a . ?uri <http://dbpedia.org/property/owner> ?x };5a343f2e17ff49d3abcce067bc9113ca;;;;;;;;;;;;;;;
;;Who holds stock in the railway lines ending in <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/routeEnd> <A> . ?x <http://dbpedia.org/property/owner> ?uri . ?x a <http://dbpedia.org/ontology/RailwayLine> };select distinct ?a where { ?x <http://dbpedia.org/ontology/routeEnd> ?a . ?x <http://dbpedia.org/property/owner> ?uri . ?x a <http://dbpedia.org/ontology/RailwayLine> };25a932470707489bb49238d7d424b9a9;;;;;;;;;;;;;;;
;Literature;Who influenced the author of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/writer> ?x . ?x <http://dbpedia.org/property/influences> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/writer> ?x . ?x <http://dbpedia.org/property/influences> ?uri };6a768d256a514c93b3a1e2afa6908be3;;;;;;;;;;;;;;;
;;Who is  office holder of constituencies <<B> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/constituency> <A> . ?uri <http://dbpedia.org/property/constituency> <B> . ?uri a <http://dbpedia.org/ontology/OfficeHolder> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/constituency> ?a . ?uri <http://dbpedia.org/property/constituency> ?b . ?uri a <http://dbpedia.org/ontology/OfficeHolder> };c373b33ce50b4f15976673862387f06d;;;;;;;;;;;;;;;
;General;Who is  related to <A> & <B>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/relatives> <A> . ?uri <http://dbpedia.org/property/relatives> <B> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/relatives> ?a . ?uri <http://dbpedia.org/property/relatives> ?b };53694c0e5c2548419756478331137c13;;;;;;;;;;;;;;;
;;Who is  venerated in  <A> and <B>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/veneratedIn> <A> . ?uri <http://dbpedia.org/ontology/veneratedIn> <B> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/veneratedIn> ?a . ?uri <http://dbpedia.org/ontology/veneratedIn> ?b };224dd25d50db49c89875b050e8c011a9;;;;;;;;;;;;;;;
;General;Who is a famous relative of <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/relative> <A> . ?uri a <http://dbpedia.org/ontology/Person> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/relative> ?a . ?uri a <http://dbpedia.org/ontology/Person> };dc1d2cb750ca4e2e9f9a74ccd1c6c5cc;;;;;;;;;;;;;;;
;;Who is a religious figure titled <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/title> <A> . ?uri a <http://dbpedia.org/ontology/Religious> };select distinct ?a where { ?uri <http://dbpedia.org/property/title> ?a . ?uri a <http://dbpedia.org/ontology/Religious> };a1d198db24e842999eeb72b803b34c69;;;;;;;;;;;;;;;
;;Who is a successor of Kingship whose parents were <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/parent> <A> . ?x <http://dbpedia.org/ontology/successor> ?uri . ?x a <http://dbpedia.org/ontology/Royalty> };select distinct ?a where { ?x <http://dbpedia.org/ontology/parent> ?a . ?x <http://dbpedia.org/ontology/successor> ?uri . ?x a <http://dbpedia.org/ontology/Royalty> };2c3ccc326827477db7ba435118944617;;;;;;;;;;;;;;;
X;Music;Who is associated  with the musical artists from <B> and <A> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/associatedMusicalArtist> <B> . ?uri <http://dbpedia.org/ontology/associatedMusicalArtist> <A> . ?uri a <http://dbpedia.org/ontology/MusicalArtist> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/associatedMusicalArtist> ?b . ?uri <http://dbpedia.org/ontology/associatedMusicalArtist> ?a . ?uri a <http://dbpedia.org/ontology/MusicalArtist> };6b86496784934d179425226207e28786;Who is associated  with the musical artists from <B> (band) and <A> ?;;;;;;;;;;;;;;
;;Who is associated to <A>  and <B>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/associate> <A> . ?uri <http://dbpedia.org/ontology/associate> <B> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/associate> ?a . ?uri <http://dbpedia.org/ontology/associate> ?b };78435963a0b241ecbd9b7ab9e4916acc;;;;;;;;;;;;;;;
;;Who is associated to the predecessor of <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/predecessor> <A> . ?uri <http://dbpedia.org/ontology/associate> ?x };select distinct ?a where { ?x <http://dbpedia.org/property/predecessor> ?a . ?uri <http://dbpedia.org/ontology/associate> ?x };6708b5842efe485a9e50e24afcbf8511;;;;;;;;;;;;;;;
;;Who is buried at the place governed by <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/governingBody> <A> . ?uri <http://dbpedia.org/property/restingplace> ?x };select distinct ?a where { ?x <http://dbpedia.org/property/governingBody> ?a . ?uri <http://dbpedia.org/property/restingplace> ?x };329c2825367b4e55a7788f13852af6e8;;;;;;;;;;;;;;;
X;General;Who is child of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/children> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/children> ?uri };fd40821f1b1c4243bc23ef7f91268311;Who is the <A> of Martin Crane ?;;;;;;;;;;;;;;
;;Who is considered to be the deciding person when it comes to crustaceans from the <A> family?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/family> <A> . ?x <http://dbpedia.org/ontology/binomialAuthority> ?uri . ?x a <http://dbpedia.org/ontology/Crustacean> };select distinct ?a where { ?x <http://dbpedia.org/ontology/family> ?a . ?x <http://dbpedia.org/ontology/binomialAuthority> ?uri . ?x a <http://dbpedia.org/ontology/Crustacean> };4803820b51af42549d4d664118ac2d00;;;;;;;;;;;;;;;
;;Who is known for are <A> and <B>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/knownFor> <A> . ?uri <http://dbpedia.org/ontology/knownFor> <B> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/knownFor> ?a . ?uri <http://dbpedia.org/ontology/knownFor> ?b };dd867c518f7546ee9a9f242d25058cb5;;;;;;;;;;;;;;;
;;Who is known for are <B> and <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/knownFor> <B> . ?uri <http://dbpedia.org/ontology/knownFor> <A> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/knownFor> ?b . ?uri <http://dbpedia.org/ontology/knownFor> ?a };db906608706f4028b90fa657a76a2fce;;;;;;;;;;;;;;;
D;General;Who is married to <A>;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/partner> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/partner> ?a };75d8ae08f021434f8b64b8c089efb56e;;;;;;;;;;;;;;;
D;General;Who is married to <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/spouse> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/spouse> ?a };6adadd03b3254e5386b3c4bd1680b99d;;;;;;;;;;;;;;;
D;General;Who is married to <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/partner> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/partner> ?a };543d46f942c04924bcee5a4c54543c6b;;;;;;;;;;;;;;;
;General;Who is married to a <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/title> <A> . ?uri <http://dbpedia.org/property/spouse> ?x };select distinct ?a where { ?x <http://dbpedia.org/property/title> ?a . ?uri <http://dbpedia.org/property/spouse> ?x };1f8f6352c2c54ce3b53aba360323d3ed;;;;;;;;;;;;;;;
;Economy;Who is on the board of <A> company?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/board> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/board> ?a };009195815bfe4b2da02ac6c1f612ce32;;;;;;;;;;;;;;;
Q;Sport;Who is owner of the club which owns the <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/owner> ?x . ?x <http://dbpedia.org/property/owner> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/owner> ?x . ?x <http://dbpedia.org/property/owner> ?uri };3fd7c86ca6824a3dbc88fe313eb4e1a8;;;;;;;;;;;;;;;
;General;Who is relative of the people died in <A> ?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/deathPlace> <A> . ?x <http://dbpedia.org/ontology/relative> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/deathPlace> ?a . ?x <http://dbpedia.org/ontology/relative> ?uri };fdc1a6168b3544c294fcb5c5d4bd3de5;;;;;;;;;;;;;;;
;Literature;Who is renowned for <A> and poem of <B> ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/notableworks> <A> . ?uri <http://dbpedia.org/property/notableworks> <B> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/notableworks> ?a . ?uri <http://dbpedia.org/property/notableworks> ?b };91316e105d274bdbae3927a547e2020a;;;;;;;;;;;;;;;
;;Who is the  distributor of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/distributor> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/distributor> ?uri };32d3e61eddc2407e87f186bc486cd36e;;;;;;;;;;;;;;;
;;who is the <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/order> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/order> ?a };cb24b43a6ea14f8691476c986fd94deb;;;;;;;;;;;;;;;
;Film;Who is the animator of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/animator> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/animator> ?uri };4294fa2db28d45f1933f8c4347b84964;;;;;;;;;;;;;;;
;;Who is the appointer of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/appointer> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/appointer> ?uri };d585bb851bb2430d9893a3976b2310bd;;;;;;;;;;;;;;;
;;Who is the appointer of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/appointer> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/appointer> ?uri };dbfcf2136b7344f1830bc4405769bc6d;;;;;;;;;;;;;;;
;;Who is the appointer of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/appointer> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/appointer> ?uri };7cecf227f82e424e953870dbd55f9a58;;;;;;;;;;;;;;;
;;Who is the architect of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/architect> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/architect> ?uri };9464454dd9bc489387bee11d1e7cd022;;;;;;;;;;;;;;;
;Music;Who is the artist <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/creator> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/creator> ?uri };626266625dc54af58709a5c0381b7aa6;;;;;;;;;;;;;;;
;Music;Who is the artist of <B> and also performed <A> atleast once?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/artist> ?uri . <A> <http://dbpedia.org/ontology/artist> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/artist> ?uri . ?a <http://dbpedia.org/ontology/artist> ?uri };0d1d38a04dff419b9fb358a190d55004;;;;;;;;;;;;;;;
;Music;Who is the artist of the album which has the song <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/album> ?x . ?x <http://dbpedia.org/property/artist> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/album> ?x . ?x <http://dbpedia.org/property/artist> ?uri };62d3a91ca55d4dadbd13109a663caf4b;;;;;;;;;;;;;;;
;Film;Who is the Artist of the singles whose film genre is <A> ?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/genre> <A> . ?x <http://dbpedia.org/property/artist> ?uri . ?x a <http://dbpedia.org/ontology/Single> };select distinct ?a where { ?x <http://dbpedia.org/property/genre> ?a . ?x <http://dbpedia.org/property/artist> ?uri . ?x a <http://dbpedia.org/ontology/Single> };397233307bda42d486c73b3f774b5d9d;;;;;;;;;;;;;;;
;;Who is the associate of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/associate> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/associate> ?uri };8a3172ebec544494a91ab3f49a5376e6;;;;;;;;;;;;;;;
;Literature;Who is the author of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/author> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/author> ?uri };1aee4c637a91415f9d690c4c5315ded9;;;;;;;;;;;;;;;
;Literature;Who is the author of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/author> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/author> ?uri };3c2822d238f74e5d8723e577709dbc0d;;;;;;;;;;;;;;;
;Literature;Who is the author of <B> is also the author of <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/author> ?uri . <A> <http://dbpedia.org/ontology/author> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/author> ?uri . ?a <http://dbpedia.org/ontology/author> ?uri };7788c912b6fb4457b27be58ee6f63052;;;;;;;;;;;;;;;
;Literature;Who is the authority of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/authority> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/authority> ?uri };57ab787a271f4c28b2a0dca69d5e9068;;;;;;;;;;;;;;;
;;Who is the builder of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/builder> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/builder> ?uri };87745e512088474b8c15730c5bb6c4c1;;;;;;;;;;;;;;;
;;Who is the builder of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/builder> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/builder> ?uri };dbaca158d01d472baadbee2830f573d4;;;;;;;;;;;;;;;
;;Who is the builder of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/builder> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/builder> ?uri };951936711e75498793c0cc4258ef5eb3;;;;;;;;;;;;;;;
;;Who is the builder of <B> and also location of <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/builder> ?uri . <A> <http://dbpedia.org/ontology/country> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/builder> ?uri . ?a <http://dbpedia.org/ontology/country> ?uri };fc3fe84aeff64b73884ae52e139bfb71;;;;;;;;;;;;;;;
;;Who is the builder of the bridge owned by <A> ?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/owner> <A> . ?x <http://dbpedia.org/ontology/builder> ?uri . ?x a <http://dbpedia.org/ontology/Bridge> };select distinct ?a where { ?x <http://dbpedia.org/property/owner> ?a . ?x <http://dbpedia.org/ontology/builder> ?uri . ?x a <http://dbpedia.org/ontology/Bridge> };6843ef8a60e748b1845aa257e4054420;;;;;;;;;;;;;;;
;Sport;Who is the builder of the Stadium of <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/stadium> ?x . ?x <http://dbpedia.org/ontology/builder> ?uri . ?x a <http://dbpedia.org/ontology/Stadium> };select distinct ?a where { ?a <http://dbpedia.org/ontology/stadium> ?x . ?x <http://dbpedia.org/ontology/builder> ?uri . ?x a <http://dbpedia.org/ontology/Stadium> };3397f948c7964e35b7883557e3869187;;;;;;;;;;;;;;;
;;Who is the chancellor of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/chancellor> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/chancellor> ?uri };4c46eefb71c64a1ba553158813943097;;;;;;;;;;;;;;;
;General;Who is the chancellor of the university which affiliates the <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/affiliations> <A> . ?x <http://dbpedia.org/property/chancellor> ?uri . ?x a <http://dbpedia.org/ontology/University> };select distinct ?a where { ?x <http://dbpedia.org/property/affiliations> ?a . ?x <http://dbpedia.org/property/chancellor> ?uri . ?x a <http://dbpedia.org/ontology/University> };685ddf1e1ed641888613c5f9c85267b7;;;;;;;;;;;;;;;
;General;Who is the chancellor of the university whose campus is in <A> ?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/campus> <A> . ?x <http://dbpedia.org/property/chancellor> ?uri . ?x a <http://dbpedia.org/ontology/University> };select distinct ?a where { ?x <http://dbpedia.org/ontology/campus> ?a . ?x <http://dbpedia.org/property/chancellor> ?uri . ?x a <http://dbpedia.org/ontology/University> };c714added3ea49fd8d6f4ee3d6fd96f0;;;;;;;;;;;;;;;
;General;Who is the child of <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/child> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/child> ?uri };922da121de7d4c2b94f5704844a63b18;;;;;;;;;;;;;;;
;General;Who is the co-founder of the city where <A> died?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/placeOfDeath> ?x . ?x <http://dbpedia.org/ontology/founder> ?uri . ?x a <http://dbpedia.org/ontology/City> };select distinct ?a where { ?a <http://dbpedia.org/property/placeOfDeath> ?x . ?x <http://dbpedia.org/ontology/founder> ?uri . ?x a <http://dbpedia.org/ontology/City> };1e48900f6c1847c7832e07b1e02cb22c;;;;;;;;;;;;;;;
;Sport;Who is the coach of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/coach> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/coach> ?uri };5bc08a17c2874dc7b7711f0329ab4fb2;;;;;;;;;;;;;;;
;;Who is the common distributer of <B> and <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/distributor> ?uri . <A> <http://dbpedia.org/ontology/distributor> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/distributor> ?uri . ?a <http://dbpedia.org/ontology/distributor> ?uri };d369a9c08c2447f2b26af647610308bc;;;;;;;;;;;;;;;
X;Sport;Who is the common manager of <B> and also the manager of <A>;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/name> ?uri . <A> <http://dbpedia.org/ontology/manager> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/name> ?uri . ?a <http://dbpedia.org/ontology/manager> ?uri };e1b83f5a76aa411aa260424b3255ce89;Who is the common manager <B> and aldo the manager <A> 2009-10;;;;;;;;;;;;;;
;General;Who is the common parent of <B> and <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/parentOrganisation> ?uri . <A> <http://dbpedia.org/property/parent> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/parentOrganisation> ?uri . ?a <http://dbpedia.org/property/parent> ?uri };b0d14b766ec544f7b6027a2ff2c21705;;;;;;;;;;;;;;;
;;Who is the common prime minster of <B>r and <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/primeMinister> ?uri . <A> <http://dbpedia.org/property/primeminister> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/primeMinister> ?uri . ?a <http://dbpedia.org/property/primeminister> ?uri };606abcc3ca2744b2906bb0e7cdd47256;;;;;;;;;;;;;;;
;;Who is the compiler of <B> whose prime minister is also <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/editor> ?uri . <A> <http://dbpedia.org/property/primeminister> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/editor> ?uri . ?a <http://dbpedia.org/property/primeminister> ?uri };30f137f544404a14b30465f5c542a71c;;;;;;;;;;;;;;;
;Music;Who is the composer of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/composer> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/composer> ?uri };b82af01a7505419ea2a82b7f08f96650;;;;;;;;;;;;;;;
;Music;Who is the cover artist of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/coverArtist> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/coverArtist> ?uri };ecbda26b25fc4319a9c2f2b629abdd69;;;;;;;;;;;;;;;
;;Who is the designer of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/designer> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/designer> ?uri };900865ae340c40d793d500a8d01ca479;;;;;;;;;;;;;;;
;Computer;Who is the developer of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/developer> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/developer> ?uri };a51b846524854b8d8be7950d0143aa08;;;;;;;;;;;;;;;
;Economy;Who is the developer of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/developer> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/developer> ?uri };60524d1955cf4a6eba1f5eab56431ce4;;;;;;;;;;;;;;;
;Computer;Who is the developer of the software which distributes <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/distributor> ?x . ?x <http://dbpedia.org/property/developer> ?uri . ?x a <http://dbpedia.org/ontology/Software> };select distinct ?a where { ?a <http://dbpedia.org/property/distributor> ?x . ?x <http://dbpedia.org/property/developer> ?uri . ?x a <http://dbpedia.org/ontology/Software> };ec9f7e686ab1438693a7da09f8164304;;;;;;;;;;;;;;;
;Computer;Who is the developer of the software which is produced by <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/products> ?x . ?x <http://dbpedia.org/ontology/developer> ?uri . ?x a <http://dbpedia.org/ontology/Software> };select distinct ?a where { ?a <http://dbpedia.org/property/products> ?x . ?x <http://dbpedia.org/ontology/developer> ?uri . ?x a <http://dbpedia.org/ontology/Software> };9bf4af0a69b54d8d8e335078f111f30e;;;;;;;;;;;;;;;
;Computer;Who is the developer of the software which serves the platform for <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/computingPlatform> ?x . ?x <http://dbpedia.org/property/developer> ?uri . ?x a <http://dbpedia.org/ontology/Software> };select distinct ?a where { ?a <http://dbpedia.org/ontology/computingPlatform> ?x . ?x <http://dbpedia.org/property/developer> ?uri . ?x a <http://dbpedia.org/ontology/Software> };1df640ae02bb4421947b10d25fb15963;;;;;;;;;;;;;;;
;;Who is the distributer of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/distributor> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/distributor> ?uri };83a20f11faf04a29a327446573eef42a;;;;;;;;;;;;;;;
;;Who is the editor of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/editor> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/editor> ?uri };3bcdc25b65614b0487c429348217ea4b;;;;;;;;;;;;;;;
;;Who is the employer of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/occupation> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/occupation> ?uri };321da0a6b5db42d28b6af0d8130999ad;;;;;;;;;;;;;;;
;General;Who is the employer of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/employer> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/employer> ?uri };5347e3d7e51348bb814413a5707b97f3;;;;;;;;;;;;;;;
;Film;Who is the executive producer of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/executiveProducer> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/executiveProducer> ?uri };d7d45064bde94687972a63ec05a2d4a6;;;;;;;;;;;;;;;
;General;Who is the famous relative of <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/relatives> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/relatives> ?a };d8afce1fd4aa4a2580832293b1d0d318;;;;;;;;;;;;;;;
;Literature;Who is the father of <A> and is also a writer?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/child> <A> . ?uri a <http://dbpedia.org/ontology/Writer> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/child> ?a . ?uri a <http://dbpedia.org/ontology/Writer> };ab3856e5604443d1967a40d89f070cc9;;;;;;;;;;;;;;;
;General;Who is the father of <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/child> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/child> ?a };8ff0158616ba4528a7ed38a4e45df6bf;;;;;;;;;;;;;;;
;Film;Who is the fictional character who portrayed in <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/portrayer> <A> . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/portrayer> ?a . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };3938c7827542407499282f308306e854;;;;;;;;;;;;;;;
;Film;Who is the fictional character who starred in <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/voice> <A> . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/voice> ?a . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };65a7bbb407e44d46825ede7581db9462;;;;;;;;;;;;;;;
;Film;Who is the fictional character whose family member is <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/family> <A> . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };select distinct ?a where { ?uri <http://dbpedia.org/property/family> ?a . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };7152d19cc09847a59273b9425bba8dfe;;;;;;;;;;;;;;;
;Film;Who is the fictional character whose relative is <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/relative> <A> . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/relative> ?a . ?uri a <http://dbpedia.org/ontology/FictionalCharacter> };50815a2e5ca14118b958db770c868c1e;;;;;;;;;;;;;;;
;Film;Who is the film director of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/director> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/director> ?uri };330a20b1b264498c86abcbd8608ab422;;;;;;;;;;;;;;;
;Film;Who is the film star of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/starring> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/starring> ?uri };f1036fdd007245499c769a21e5ecb88e;;;;;;;;;;;;;;;
;General;Who is the former partner of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/formerPartner> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/formerPartner> ?uri };d742a7e01f4c4ee48d60d542ecc2fb42;;;;;;;;;;;;;;;
